Timestamp	StudentAge	Gender	Nationality	Major	FirstPhoneAge	Provider	Devices	WeeklyPhone	SocialMedia	Sleep	MobileMoney	Food	Study	Gym	StudySpace	Health	Writing	Math
8/27/2019 12:40:42	19	Male	Ghana	CS	15	AirtelTigo	2	10	10	8	Yes	8	2	No	Library Study Area	3	Yes	Yes
8/27/2019 13:12:32	20	Male	Ghana	BA	13	MTN	2	5	4	8	Yes	33.2	7	No	Library Study Area	0	Yes	Yes
8/27/2019 14:32:22	20	Female	Zimbabwe	CS	16	MTN	2	0	3.5	7	No	35	4	No	Room	2	Yes	No
8/27/2019 15:21:05	19	Female	Ghana	MIS	16	AirtelTigo	2	2	1	7.5	Yes	32.5	21	No	Any of the classrooms	3	Yes	No
8/27/2019 18:32:55	21	Female	Zimbabwe	MIS	17	AirtelTigo	2	15	3	6	No	35	8	No	Any of the classrooms	5	Yes	Yes
8/27/2019 19:10:57	19	Male	Ghana	BA	15	MTN	3	50	3	7	Yes	5	25	No	Any of the classrooms	2	Yes	Yes
8/27/2019 19:21:29	20	Male	Ghana	BA	15	AirtelTigo	2	5	4.5	7.5	No	27	10	No	Any of the classrooms	2	Yes	Yes
8/27/2019 20:16:22	19	Female	Ghana	MIS	9	Vodafone	2	5	12	6	No	25	10	No	Any of the classrooms	2	Yes	No
8/27/2019 20:20:15	20	Male	Ghana	MIS	15	MTN	3	50	3	6	Yes	25	25	Yes	Library Study Area	2	Yes	No
8/27/2019 20:39:55	19	Male	Ghana	CS	15	Vodafone	2	5	4	6	No	0	3	Yes	Any of the classrooms	0	Yes	Yes
8/27/2019 21:58:18	20	Male	Ghana	MIS	9	MTN	3	30	2	5	Yes	20	2	Yes	Any of the classrooms	1	Yes	Yes
8/27/2019 22:56:33	19	Female	Ghana	CS	15	AirtelTigo	2	50	9	7	Yes	20	12	Yes	Any of the classrooms	3	No	Yes
8/28/2019 0:06:00	21	Male	Ghana	CS	8	AirtelTigo	2	20	2.5	7.5	Yes	15	9	No	Any of the classrooms	0	Yes	Yes
8/28/2019 14:48:53	18	Female	Nigeria	CS	16	AirtelTigo	2	20	4	1	No	22.5	10	No	Any of the classrooms	10	Yes	No
8/28/2019 17:00:30	21	Male	Ghana	BA	13	Vodafone	2	10	4	5	Yes	12	3	No	Any of the classrooms	5	Yes	Yes
8/28/2019 17:06:54	19	Female	Rwanda	MIS	14	MTN	2	0	4	8	Yes	28	7	No	Any of the classrooms	5	Yes	Yes
8/28/2019 17:15:16	19	Male	Ghana	BA	8	Vodafone	4	20	6	6	Yes	9	4	No	Lobby	0	Yes	Yes
8/28/2019 20:48:35	20	Male	Malawi	MIS	15	MTN	2	35	2.5	7	Yes	34.6	3.5	Yes	Library Seminar Room	4	Yes	Yes
8/28/2019 21:34:12	24	Male	DRC	BA	16	AirtelTigo	2	10	4	6.5	No	45	5	Yes	Lab 221	5	Yes	Yes
8/28/2019 21:51:47	19	Male	Ghana	CS	18	MTN	2	20	2	6	Yes	50	10	No	Any of the classrooms	1	Yes	No
8/28/2019 23:31:29	19	Female	Ghana	BA	9	MTN	2	10	10	6	Yes	7.5	3	No	Any of the classrooms	4	Yes	Yes
